name,role,component,layer,dtype,shape,params
model.layers.17.pre_ff_layernorm.weight,model.layers.N.pre_ff_layernorm.weight,language model,17.0,BF16,"(3072,)",3072
model.layers.17.self_attn.k_proj.weight,model.layers.N.self_attn.k_proj.weight,language model,17.0,BF16,"(256, 3072)",786432
model.layers.17.self_attn.o_proj.weight,model.layers.N.self_attn.o_proj.weight,language model,17.0,BF16,"(3072, 1536)",4718592
model.layers.17.self_attn.q_proj.weight,model.layers.N.self_attn.q_proj.weight,language model,17.0,BF16,"(1536, 3072)",4718592
model.layers.17.self_attn.v_proj.weight,model.layers.N.self_attn.v_proj.weight,language model,17.0,BF16,"(256, 3072)",786432
model.layers.18.feed_forward.down_proj.weight,model.layers.N.feed_forward.down_proj.weight,language model,18.0,BF16,"(3072, 12288)",37748736
model.layers.18.feed_forward.gate_proj.weight,model.layers.N.feed_forward.gate_proj.weight,language model,18.0,BF16,"(12288, 3072)",37748736
model.layers.18.feed_forward.up_proj.weight,model.layers.N.feed_forward.up_proj.weight,language model,18.0,BF16,"(12288, 3072)",37748736
model.layers.18.input_layernorm.weight,model.layers.N.input_layernorm.weight,language model,18.0,BF16,"(3072,)",3072
model.layers.18.mamba.A_log,model.layers.N.mamba.A_log,language model,18.0,BF16,"(24,)",24
model.layers.18.mamba.D,model.layers.N.mamba.D,language model,18.0,BF16,"(24,)",24
model.layers.18.mamba.conv1d.bias,model.layers.N.mamba.conv1d.bias,language model,18.0,BF16,"(3584,)",3584
model.layers.18.mamba.conv1d.weight,model.layers.N.mamba.conv1d.weight,language model,18.0,BF16,"(3584, 1, 4)",14336
model.layers.18.mamba.dt_bias,model.layers.N.mamba.dt_bias,language model,18.0,BF16,"(24,)",24
model.layers.18.mamba.in_proj.weight,model.layers.N.mamba.in_proj.weight,language model,18.0,BF16,"(6680, 3072)",20520960
model.layers.18.mamba.norm.weight,model.layers.N.mamba.norm.weight,language model,18.0,BF16,"(3072,)",3072
model.layers.18.mamba.out_proj.weight,model.layers.N.mamba.out_proj.weight,language model,18.0,BF16,"(3072, 3072)",9437184
model.layers.18.pre_ff_layernorm.weight,model.layers.N.pre_ff_layernorm.weight,language model,18.0,BF16,"(3072,)",3072
model.layers.18.self_attn.k_proj.weight,model.layers.N.self_attn.k_proj.weight,language model,18.0,BF16,"(256, 3072)",786432
model.layers.18.self_attn.o_proj.weight,model.layers.N.self_attn.o_proj.weight,language model,18.0,BF16,"(3072, 1536)",4718592
model.layers.18.self_attn.q_proj.weight,model.layers.N.self_attn.q_proj.weight,language model,18.0,BF16,"(1536, 3072)",4718592
model.layers.18.self_attn.v_proj.weight,model.layers.N.self_attn.v_proj.weight,language model,18.0,BF16,"(256, 3072)",786432
model.layers.19.feed_forward.down_proj.weight,model.layers.N.feed_forward.down_proj.weight,language model,19.0,BF16,"(3072, 12288)",37748736
model.layers.19.feed_forward.gate_proj.weight,model.layers.N.feed_forward.gate_proj.weight,language model,19.0,BF16,"(12288, 3072)",37748736
model.layers.19.feed_forward.up_proj.weight,model.layers.N.feed_forward.up_proj.weight,language model,19.0,BF16,"(12288, 3072)",37748736
model.layers.19.input_layernorm.weight,model.layers.N.input_layernorm.weight,language model,19.0,BF16,"(3072,)",3072
model.layers.19.mamba.A_log,model.layers.N.mamba.A_log,language model,19.0,BF16,"(24,)",24
model.layers.19.mamba.D,model.layers.N.mamba.D,language model,19.0,BF16,"(24,)",24
model.layers.19.mamba.conv1d.bias,model.layers.N.mamba.conv1d.bias,language model,19.0,BF16,"(3584,)",3584
model.layers.19.mamba.conv1d.weight,model.layers.N.mamba.conv1d.weight,language model,19.0,BF16,"(3584, 1, 4)",14336
model.layers.19.mamba.dt_bias,model.layers.N.mamba.dt_bias,language model,19.0,BF16,"(24,)",24
model.layers.19.mamba.in_proj.weight,model.layers.N.mamba.in_proj.weight,language model,19.0,BF16,"(6680, 3072)",20520960
model.layers.19.mamba.norm.weight,model.layers.N.mamba.norm.weight,language model,19.0,BF16,"(3072,)",3072
model.layers.19.mamba.out_proj.weight,model.layers.N.mamba.out_proj.weight,language model,19.0,BF16,"(3072, 3072)",9437184
model.layers.19.pre_ff_layernorm.weight,model.layers.N.pre_ff_layernorm.weight,language model,19.0,BF16,"(3072,)",3072
model.layers.19.self_attn.k_proj.weight,model.layers.N.self_attn.k_proj.weight,language model,19.0,BF16,"(256, 3072)",786432
model.layers.19.self_attn.o_proj.weight,model.layers.N.self_attn.o_proj.weight,language model,19.0,BF16,"(3072, 1536)",4718592
model.layers.19.self_attn.q_proj.weight,model.layers.N.self_attn.q_proj.weight,language model,19.0,BF16,"(1536, 3072)",4718592
model.layers.19.self_attn.v_proj.weight,model.layers.N.self_attn.v_proj.weight,language model,19.0,BF16,"(256, 3072)",786432
model.layers.2.feed_forward.down_proj.weight,model.layers.N.feed_forward.down_proj.weight,language model,2.0,BF16,"(3072, 12288)",37748736
model.layers.2.feed_forward.gate_proj.weight,model.layers.N.feed_forward.gate_proj.weight,language model,2.0,BF16,"(12288, 3072)",37748736
model.layers.2.feed_forward.up_proj.weight,model.layers.N.feed_forward.up_proj.weight,language model,2.0,BF16,"(12288, 3072)",37748736
model.layers.2.input_layernorm.weight,model.layers.N.input_layernorm.weight,language model,2.0,BF16,"(3072,)",3072
model.layers.2.mamba.A_log,model.layers.N.mamba.A_log,language model,2.0,BF16,"(24,)",24
model.layers.2.mamba.D,model.layers.N.mamba.D,language model,2.0,BF16,"(24,)",24
model.layers.2.mamba.conv1d.bias,model.layers.N.mamba.conv1d.bias,language model,2.0,BF16,"(3584,)",3584
model.layers.2.mamba.conv1d.weight,model.layers.N.mamba.conv1d.weight,language model,2.0,BF16,"(3584, 1, 4)",14336
model.layers.2.mamba.dt_bias,model.layers.N.mamba.dt_bias,language model,2.0,BF16,"(24,)",24
model.layers.2.mamba.in_proj.weight,model.layers.N.mamba.in_proj.weight,language model,2.0,BF16,"(6680, 3072)",20520960
model.layers.2.mamba.norm.weight,model.layers.N.mamba.norm.weight,language model,2.0,BF16,"(3072,)",3072
model.layers.2.mamba.out_proj.weight,model.layers.N.mamba.out_proj.weight,language model,2.0,BF16,"(3072, 3072)",9437184
model.layers.2.pre_ff_layernorm.weight,model.layers.N.pre_ff_layernorm.weight,language model,2.0,BF16,"(3072,)",3072
model.layers.2.self_attn.k_proj.weight,model.layers.N.self_attn.k_proj.weight,language model,2.0,BF16,"(256, 3072)",786432
model.layers.2.self_attn.o_proj.weight,model.layers.N.self_attn.o_proj.weight,language model,2.0,BF16,"(3072, 1536)",4718592
model.layers.2.self_attn.q_proj.weight,model.layers.N.self_attn.q_proj.weight,language model,2.0,BF16,"(1536, 3072)",4718592
model.layers.2.self_attn.v_proj.weight,model.layers.N.self_attn.v_proj.weight,language model,2.0,BF16,"(256, 3072)",786432
model.layers.20.feed_forward.down_proj.weight,model.layers.N.feed_forward.down_proj.weight,language model,20.0,BF16,"(3072, 12288)",37748736
model.layers.20.feed_forward.gate_proj.weight,model.layers.N.feed_forward.gate_proj.weight,language model,20.0,BF16,"(12288, 3072)",37748736
model.layers.20.feed_forward.up_proj.weight,model.layers.N.feed_forward.up_proj.weight,language model,20.0,BF16,"(12288, 3072)",37748736
model.layers.20.input_layernorm.weight,model.layers.N.input_layernorm.weight,language model,20.0,BF16,"(3072,)",3072
model.layers.20.mamba.A_log,model.layers.N.mamba.A_log,language model,20.0,BF16,"(24,)",24
model.layers.20.mamba.D,model.layers.N.mamba.D,language model,20.0,BF16,"(24,)",24
